,0,1,2,3,4,5
31,제발 뒤질때까지 혼자사세요,ᄋᄋ,2023-02-16T03:42:47Z,2023-02-16T03:42:47Z,0,ZfK9ER8Xh7w
32,캔디는 누구임? 궁금하넹,사이타마현민,2023-02-16T03:29:38Z,2023-02-16T03:29:38Z,0,ZfK9ER8Xh7w
33,그냥 돈많겠다 하고픈거하면서 혼자살면되지ㅎㅎ 저걸알먼서 누가 장훈이좋다할까? 그것도 현실은 길면 1-2년이지 다 부질없는것을 애쓰지말고 살그라. 인생 다 가질수는없는법.,낭만파,2023-02-16T03:28:26Z,2023-02-16T03:28:26Z,1,ZfK9ER8Xh7w
34,착하고 깔끔하고 모르겠고 여튼 혼자 살아야될듯 남한테 스트레스 주지말고,토니토니쵸파,2023-02-16T03:17:18Z,2023-02-16T03:17:18Z,1,ZfK9ER8Xh7w
35,음주운전 전과자,machine will take over,2023-02-16T03:08:51Z,2023-02-16T03:08:51Z,1,ZfK9ER8Xh7w
36,진짜검소하게 사신다~건물주소문이 무색할정도로,권오남,2023-02-16T03:08:23Z,2023-02-16T03:08:23Z,0,ZfK9ER8Xh7w
37,강박증,HLB,2023-02-16T03:07:05Z,2023-02-16T03:07:05Z,0,ZfK9ER8Xh7w
38,검소하다  다시보이네,run,2023-02-16T03:05:06Z,2023-02-16T03:05:06Z,0,ZfK9ER8Xh7w
39,깝을 떨어라 지구떠나 혼자살어라 개자식아,이용부,2023-02-16T03:02:49Z,2023-02-16T03:02:49Z,0,ZfK9ER8Xh7w
40,나타샤 뭔데 서장훈엄마같냐 ㅋㅋㅋㅋㅋㅋ 약간 그 인강선생님 그분인거 같기도 하구,쮸뿌쮸뿌,2023-02-16T03:01:17Z,2023-02-16T03:03:01Z,0,ZfK9ER8Xh7w
41,"왜 저렇게 피곤하게 살지, 좀 너털하게 살지......",긍정의힘,2023-02-16T02:52:56Z,2023-02-16T02:52:56Z,0,ZfK9ER8Xh7w
42,장훈이형네집 침대위에서 웨하스 먹고싶다,Yongik Cho,2023-02-16T02:52:30Z,2023-02-16T02:52:30Z,0,ZfK9ER8Xh7w
43,0:40 이게 제일 웃겼다ㅋㅋㅋ,영상없이 구독자 만 명 도전중,2023-02-16T02:45:33Z,2023-02-16T02:45:33Z,0,ZfK9ER8Xh7w
44,"돈이 많으면 뭐하니.... 쉬는 날은 저런 일상인데... 돈은 잘 버는 것도 물론 중요하지만, 어떻게 쓰느냐, 잘 쓸 줄 아느냐가 인생에 더 중요하다.",파아랑,2023-02-16T02:42:43Z,2023-02-16T02:42:43Z,0,ZfK9ER8Xh7w
45,와 바닥봐라 반들반들 진짜 깨끗하게 사네ㄷㄷ 리스펙,김범수,2023-02-16T02:33:10Z,2023-02-16T02:33:10Z,0,ZfK9ER8Xh7w
46,여스텝들 저런모습하니깐 청소용역분들 같으시네,김경하,2023-02-16T02:31:37Z,2023-02-16T02:31:37Z,0,ZfK9ER8Xh7w
47,서장훈씨 집은 백색인줄 알았는데 그건 아니네 ㅋ,구은영,2023-02-16T02:29:55Z,2023-02-16T02:29:55Z,0,ZfK9ER8Xh7w
48,결벽증 있는 남자 만나봤는데 더러운 남자 보다 나아요. 더러운 남자 만나니까 나도 더러운데 같이 더럽게 지내요. 차라리 깔끔한 남자한테 맞춰사는게 나한테도 도움되요.,이서연,2023-02-16T02:28:23Z,2023-02-16T02:28:23Z,0,ZfK9ER8Xh7w
49,ㅇㄴ 누가 봐도 오은영 박사 아닌가?,sdff ssff,2023-02-16T02:28:13Z,2023-02-16T02:28:13Z,0,ZfK9ER8Xh7w
