video_id,category_id,category_name,title,views_count,like_count,uploaded_at
NWW3KEnVfp8,23,Comedy,6년간 대통령 6번 바뀐 페루의 비극,894275,11862,2022-12-24 11:00:56+00:00
60Hk1C1Ibh8,23,Comedy,인류는 무한한 에너지를 얻을 수 있을까,808039,11120,2022-12-23 11:57:06+00:00
L0UUNzoLCeA,23,Comedy,"""미국 역사상 최대 금융 사기 중 하나""",790381,10441,2022-12-22 11:27:11+00:00
IiVzdE-babk,23,Comedy,누칼협? 중꺾마? 2022년 올해의 단어들,573867,8723,2022-12-21 10:55:21+00:00
O3EkSobPNuw,23,Comedy,"경기 침체, 기로에 서있는 한국경제",1040974,14448,2022-12-20 11:53:07+00:00
IfP-uFaFhcI,23,Comedy,"빌라왕 급사, 무한 깡통 전세 수법은",1017425,15013,2022-12-19 11:20:26+00:00
6Kra_CD9UEI,23,Comedy,난리나는 돈 잔치? 카타르 월드컵 비용 280조원,765455,9464,2022-12-16 08:41:46+00:00
ZC8kTeCmMak,23,Comedy,진짜 나 혼자 산다.,1179133,15903,2022-12-14 12:42:43+00:00
3zWGbiYjm3c,23,Comedy,미래에서 온 재벌집 막내아들이  S그룹을 후루룩짭짭 하는 방법,1408864,17956,2022-12-13 11:54:07+00:00
3DARyUwluGg,23,Comedy,독일 제국의 왕을 꿈꾼 자,795379,11747,2022-12-12 09:36:09+00:00
rHz1OdMQYyI,23,Comedy,러시아돈 400조원 우리가 쓰겠다,1229632,16664,2022-12-10 09:47:45+00:00
n8GsRAgHChw,23,Comedy,"천안문 이후 최대 소요, 중국을 뒤흔든 '백지 시위'",752181,11227,2022-12-09 11:49:23+00:00
YwakskGF8jI,23,Comedy,"생전 처음 겪는 물가상승, 고통받는 일본 국민들",1010205,13552,2022-12-08 10:13:56+00:00
HTzT1Wy978o,23,Comedy,"전쟁으로 가난해진 유럽, 빨대 꼽는 미국",1027166,15489,2022-12-07 10:28:48+00:00
gGPDffjJItg,23,Comedy,꽁꽁 얼어붙은 대한민국 노사협력,622597,9835,2022-12-06 11:26:42+00:00
NCG_IlTskAA,23,Comedy,"머스크, 애플 전쟁 선포",1028994,14273,2022-12-05 11:32:18+00:00
nwp4_NEOFN8,23,Comedy,스코틀랜드를 멸망으로 이끈 식민지 프로젝트,877779,11020,2022-12-02 12:34:12+00:00
S0Xy4B1C_ko,23,Comedy,"새끼발가락 뼈, 2개가 정상인가 3개가 정상인가",376205,5822,2022-12-01 10:17:29+00:00
d404GZJM4Ts,23,Comedy,사람이 없다. 예고되어 있는 구인난,1201625,14047,2022-11-30 11:05:49+00:00
V3PwG6LZd5s,23,Comedy,여성은 왕이 될 수 없다. 딸부자 일본 왕실의 고민,892223,10454,2022-11-29 11:52:31+00:00
_XgcFqCG9xc,23,Comedy,"반복되는 코인 흑역사, 피해보는 개미들",849944,11338,2022-11-28 12:13:16+00:00
KIMxmVnUJ9o,23,Comedy,"중세의 끝, 천년을 버틴 콘스탄티노플의 함락",941888,11706,2022-11-25 10:46:37+00:00
w_sV6MqDQ4A,23,Comedy,건강보험 2028년 고갈 예정?,699968,10217,2022-11-24 09:12:35+00:00
9MpTvy-2kaY,23,Comedy,"대한민국 국가채무 1,000조원 시대,  논의되는 재정준칙 (유료광고포함)",482477,6942,2022-11-23 09:53:38+00:00
cnMIHpvMDZM,23,Comedy,결혼할 신부가 없다! 심각한 중국의 남녀 비율,1199287,15794,2022-11-22 10:42:08+00:00
Cui-6nd1HN8,23,Comedy,폴란드에 미사일이 떨어졌다!? 설마..?,712610,10139,2022-11-21 12:23:44+00:00
SH2ssf6ug5Q,23,Comedy,K-나이 족보꼬임 방지법 통과될까,543427,7435,2022-11-19 12:28:11+00:00
2Zaoc0_aNjg,23,Comedy,"현실판 느와르, 2022년 브라질 대통령 선거",771630,9881,2022-11-18 12:46:22+00:00
bNg6SX_MPpo,23,Comedy,2.6조원! 복권 역사상 최고액 경신,475708,6365,2022-11-17 11:31:47+00:00
COdMpfHlzUo,23,Comedy,"인플레이션, 해치웠나...?",927436,11847,2022-11-16 12:19:56+00:00
Nva2ZOzO7Sc,23,Comedy,"뜻밖의 결과, 위기의 트럼프",783160,10868,2022-11-15 11:16:32+00:00
NWrPVpoN6lU,23,Comedy,"FTX 파산, 공포에 질린 코인시장",1132681,15042,2022-11-14 09:24:26+00:00
wEwvtRmSIyo,23,Comedy,스스로 만든 '제로 코로나' 함정에 빠진 중국,1011809,13733,2022-11-11 10:46:58+00:00
-_byeCDQ7NY,23,Comedy,"증가하는 PTSD, 경제위기와 비극적 사건",698110,10824,2022-11-10 10:23:27+00:00
N3yhkDHs8yw,23,Comedy,미국의 자국 우선주의에 반발하는 유럽,815789,11052,2022-11-09 10:10:39+00:00
L7cTxv6tRtM,23,Comedy,"돈 값이 금 값, 사면초가 흥국생명",865991,11149,2022-11-08 11:08:11+00:00
4XEV-G5i5fA,23,Comedy,61조 원에 트위터 인수한 이 시대 최고의 관종 머스크,1091245,14171,2022-11-07 11:30:53+00:00
t8c8eHnooCM,23,Comedy,바다에는 곤충이 없다,706510,10039,2022-11-04 10:26:59+00:00
Lk6p4ox27Sw,23,Comedy,에너지에 이은 식량 전쟁 시대,791997,13097,2022-11-03 10:14:24+00:00
YKXhBrz4yhA,23,Comedy,올해 사상 최고의 실적을 올린 기업,645024,8875,2022-11-02 11:03:59+00:00
RynCTDxpKPw,23,Comedy,영국 역사상 최고 부자 총리가 온다.,805204,12224,2022-11-01 11:31:40+00:00
kw4Hv7PmiQc,23,Comedy,"SK하이닉스 실적 쇼크, 반도체 치킨 게임의 시작?",1003641,17889,2022-10-31 09:57:09+00:00
2MHSDmmaGcg,23,Comedy,"종이 신문의 종말, 3줄 요약의 시대",654215,8857,2022-10-28 12:02:17+00:00
kGq405uF92Y,23,Comedy,"그림 도둑 AI 등장, 예술인가 도둑놈인가",566967,8036,2022-10-27 10:21:18+00:00
y9Dd_7NPcfI,23,Comedy,"얼어버린 돈줄, 떨고 있는 기업들",1437655,17435,2022-10-26 11:32:13+00:00
H-dRgW5XDpQ,23,Comedy,하루에 6명이 산업 재해로 사망하는 나라,572700,10469,2022-10-25 11:21:20+00:00
SWyQmUmKG_s,23,Comedy,"시진핑 1인 통치 체제 확정, 새로운 시대로 진입하는 중국",950845,14927,2022-10-24 11:08:03+00:00
VcPL97N8ySw,23,Comedy,꼼장어는 물고기도 아니다?,625241,9298,2022-10-21 10:42:16+00:00
tzIzcr4EM6w,23,Comedy,정신나간 사우디 신도시 프로젝트 The Line,2326872,25245,2022-10-20 11:07:32+00:00
sLwwnDEftN0,23,Comedy,북한 전투기 150대 동시 출격? 진짜?,1448567,19179,2022-10-19 10:54:24+00:00
oO32HQhJbuU,23,Comedy,이자 5%? 사상 최대 돈이 몰린 은행 예금,946229,12333,2022-10-18 11:03:41+00:00
PAPgBy2D_yk,23,Comedy,비상 경영에 나선 위기의 카카오,879735,15562,2022-10-17 10:23:26+00:00
IuvUMAHr3dw,23,Comedy,'빚 못 갚겠다.'  파산 위기의 레고랜드,1999661,21874,2022-10-15 09:49:58+00:00
