0,1,2,3,4,5
I loved if there's English translation. I only understand few words 😅,joy 4 u,2023-02-21T07:31:27Z,2023-02-21T07:31:27Z,0,0cWKAJFnBVA
No substitles,M,2023-02-21T07:31:03Z,2023-02-21T07:31:03Z,0,0cWKAJFnBVA
English subtitles when?,Purple,2023-02-21T07:31:00Z,2023-02-21T07:31:00Z,0,0cWKAJFnBVA
I'm literally coming back every 5 minutes to check if the English subtitles are available.,Sri Raveenah Ganasan,2023-02-21T07:30:32Z,2023-02-21T07:30:32Z,0,0cWKAJFnBVA
"please add English subtitles. as a international Amry, I can't understand anything",jassie Dhillon,2023-02-21T07:30:10Z,2023-02-21T07:30:10Z,0,0cWKAJFnBVA
Yaaa taehyungum🥺utanıyor bi de şapşal,Tuğba,2023-02-21T07:29:59Z,2023-02-21T07:29:59Z,0,0cWKAJFnBVA
تاي حبيييبيي يجننن 🥹💗,saenamr,2023-02-21T07:29:44Z,2023-02-21T07:29:44Z,0,0cWKAJFnBVA
Can't understand but still watching it because of our taetae 😍😍 .... add eng subtitles plzzz,Nitya Singh,2023-02-21T07:29:35Z,2023-02-21T07:29:35Z,0,0cWKAJFnBVA
english subtitles.....plss,Loya Likhita,2023-02-21T07:29:26Z,2023-02-21T07:29:26Z,0,0cWKAJFnBVA
유미 진짜 사랑스럽다,yn LEE,2023-02-21T07:29:20Z,2023-02-21T07:29:20Z,4,0cWKAJFnBVA
please need english subtitles so that the nternational viewers can understand also.,Minyat Ng Bohol,2023-02-21T07:29:05Z,2023-02-21T07:29:05Z,0,0cWKAJFnBVA
Everyone there is a part 2. Check out the other video too if you did not notice. Enjoy 😊,shenriquezzz,2023-02-21T07:28:56Z,2023-02-21T07:28:56Z,1,0cWKAJFnBVA
KIM TAEHYUNG I LOVE YOU 💌💘❤️💓💕💖💗💝💞💌💌💌💘💘❤️,Kim Snow,2023-02-21T07:28:55Z,2023-02-21T07:28:55Z,0,0cWKAJFnBVA
❤,Sonia Rana,2023-02-21T07:28:24Z,2023-02-21T07:28:24Z,0,0cWKAJFnBVA
Please give english subtitles... 🇮🇳🇮🇳,Srivani Yadav,2023-02-21T07:28:22Z,2023-02-21T07:28:22Z,1,0cWKAJFnBVA
V 😍😍😍😍😍,Nitya Singh,2023-02-21T07:28:08Z,2023-02-21T07:28:08Z,0,0cWKAJFnBVA
English subtitles???,Sapna Naseer,2023-02-21T07:27:56Z,2023-02-21T07:27:56Z,0,0cWKAJFnBVA
Indo sub juseyoo,Miss Jimin11,2023-02-21T07:27:42Z,2023-02-21T07:27:54Z,0,0cWKAJFnBVA
Allahım ölücem güzelliğine çok güzelsinnnnnnnnnnnn,Tuğba,2023-02-21T07:27:37Z,2023-02-21T07:27:37Z,1,0cWKAJFnBVA
Why eng subtitles are not available 😡😡😡😡,Zunaira Sohail,2023-02-21T07:27:34Z,2023-02-21T07:27:34Z,0,0cWKAJFnBVA
"english sub, please",zaawithbooks,2023-02-21T07:27:30Z,2023-02-21T07:27:30Z,0,0cWKAJFnBVA
Kimtaehyung ❤,Mohammad Azimi,2023-02-21T07:27:29Z,2023-02-21T07:27:29Z,0,0cWKAJFnBVA
Captions please !!!!!!,MinSugaCheonjaeJjangJjangManPpoongPpoong,2023-02-21T07:27:17Z,2023-02-21T07:27:17Z,0,0cWKAJFnBVA
Kim Taehyung I LOVE YOU 💌💘❤️💗💖💓💞💝💌💌❤️💘💘💘💘❤️,Kim Snow,2023-02-21T07:27:14Z,2023-02-21T07:27:14Z,0,0cWKAJFnBVA
Şirket taehyung ile ilgili hiçbir promo yapmıyor nefret ediyorum bighito senden,Tuğba,2023-02-21T07:27:13Z,2023-02-21T07:27:13Z,0,0cWKAJFnBVA
Where is the subtitle??????????????????????,Jesmin Akter,2023-02-21T07:26:45Z,2023-02-21T07:26:45Z,0,0cWKAJFnBVA
Why there is no sub title😭😭😭....though i don't understand anything ut it's fun to watch...lots of love💜💜💜💜🐯,Tshering Doma Lepcha,2023-02-21T07:26:44Z,2023-02-21T07:26:44Z,0,0cWKAJFnBVA
Why there's no subtitles 😭😭,Kancana Devi,2023-02-21T07:26:44Z,2023-02-21T07:26:44Z,0,0cWKAJFnBVA
Subtitles?🥺,Daligurl,2023-02-21T07:26:44Z,2023-02-21T07:26:44Z,0,0cWKAJFnBVA
Aunque viéndote para apoyarte clarooooo🇪🇦🇪🇦,ESTER VALIENTE BUTJOSA,2023-02-21T07:26:09Z,2023-02-21T07:26:09Z,0,0cWKAJFnBVA
출연진분들 다  좋음..넘 기대됩니다..딸아이 개학과 동시에 할일도 많고 ㅜㅜ 서진이네로 스트레스 날려보겠습니당~~^^,박순천,2023-02-21T07:26:04Z,2023-02-21T07:26:04Z,15,0cWKAJFnBVA
Subtitle please,Marliahaena Suradinarta,2023-02-21T07:25:52Z,2023-02-21T07:25:52Z,0,0cWKAJFnBVA
Please add English subtitles 🙏,S Sony,2023-02-21T07:25:38Z,2023-02-21T07:25:38Z,1,0cWKAJFnBVA
Taetae💜,Kimchichi,2023-02-21T07:25:34Z,2023-02-21T07:25:34Z,1,0cWKAJFnBVA
Where can I find it with English subtitles!??,Lina Matllaoui,2023-02-21T07:25:25Z,2023-02-21T07:25:25Z,0,0cWKAJFnBVA
"Очень рада за тэхена,он улыбается и на душе спокойно ,хорошо что есть настоящие друзья,успехов",Галина,2023-02-21T07:25:23Z,2023-02-21T07:25:23Z,100,0cWKAJFnBVA
น่ารักกันทุกคนเลย​ 💜💖,คลั่งรัก แท💜,2023-02-21T07:25:11Z,2023-02-21T07:25:11Z,1,0cWKAJFnBVA
뷔 데리고 해외에서 저게 가능하냐 사람 ㅈㄴ몰려서 불가능할거 같은데 그냥 주방에 가둬놓고 안나왔나보네,키륵,2023-02-21T07:25:09Z,2023-02-21T07:25:09Z,2,0cWKAJFnBVA
Necesito subtítulos en inglés por lo menos para tener una idea  de lo que habláis...🥺,ESTER VALIENTE BUTJOSA,2023-02-21T07:25:08Z,2023-02-21T07:25:08Z,0,0cWKAJFnBVA
💜💥,Eve-ARMY,2023-02-21T07:24:54Z,2023-02-21T07:24:54Z,0,0cWKAJFnBVA
Pls provide English subtitles for this program international fans. Thanks! 👌👍❤️🤩,How Anicia,2023-02-21T07:24:29Z,2023-02-21T07:24:29Z,3,0cWKAJFnBVA
Taehyung is so cuteee,Timaa🤍,2023-02-21T07:24:24Z,2023-02-21T07:24:24Z,1,0cWKAJFnBVA
Afficher les sous-titres s'il-vous-plaît,meg,2023-02-21T07:24:04Z,2023-02-21T07:24:04Z,0,0cWKAJFnBVA
"V,Could you please add the subtitles in English so I can understand what everyone is saying.I can wait to watch all the episodes",janice reader,2023-02-21T07:23:21Z,2023-02-21T07:23:21Z,0,0cWKAJFnBVA
Is there english subtitles?,Elizalde Joyce Leynes,2023-02-21T07:23:17Z,2023-02-21T07:23:17Z,0,0cWKAJFnBVA
English  Subtitles  ??🤥🤥,Jagriti Pandey,2023-02-21T07:23:07Z,2023-02-21T07:23:07Z,0,0cWKAJFnBVA
Love this,Marta Gonzalo,2023-02-21T07:21:59Z,2023-02-21T07:21:59Z,0,0cWKAJFnBVA
ฟังไม่รู้เรื่องเลยจะร้องมีซับอังกฤษ​ไหม,Marina Sahattawat,2023-02-21T07:21:49Z,2023-02-21T07:21:49Z,0,0cWKAJFnBVA
"왜 박서준보는데, 배구선수 김연경선수가 계속막 왜…하지만 난 둘다쥬아 ㅋㅋ",kkk0517,2023-02-21T07:21:45Z,2023-02-21T07:21:45Z,0,0cWKAJFnBVA
Plz set English caption,Anitha M,2023-02-21T07:21:40Z,2023-02-21T07:21:40Z,0,0cWKAJFnBVA
"Голос Техьона найкращий в світі, Taehyung ❤️",Галина Хіміч,2023-02-21T07:21:40Z,2023-02-21T07:21:40Z,0,0cWKAJFnBVA
Why there's no eng subtitles..... I don't understand except some words... I wish they'll do something about it,TANYA GUPTA,2023-02-21T07:21:30Z,2023-02-21T07:21:30Z,0,0cWKAJFnBVA
tidak ada subtittle nya 😥,yulia riza ayu nadziroh,2023-02-21T07:20:14Z,2023-02-21T07:20:14Z,0,0cWKAJFnBVA
🤩🤩🥰💕💕,jeon-jung alizee,2023-02-21T07:20:11Z,2023-02-21T07:20:11Z,0,0cWKAJFnBVA
We need arabic translation 😭😭😭😭,Moon 1.1.1,2023-02-21T07:20:06Z,2023-02-21T07:20:06Z,0,0cWKAJFnBVA
waiting for subs is hard,samadhi nishshanka,2023-02-21T07:20:02Z,2023-02-21T07:20:02Z,0,0cWKAJFnBVA
아 우식이 귀엽네 ㅋㅋㅋㅋㅋ,라임라임해,2023-02-21T07:20:01Z,2023-02-21T07:20:01Z,5,0cWKAJFnBVA
I need English subtitles 🥹🥹,Sabrina Alam,2023-02-21T07:19:34Z,2023-02-21T07:19:34Z,1,0cWKAJFnBVA
Subtitles pleaaaase,Emmy emmy,2023-02-21T07:18:47Z,2023-02-21T07:18:47Z,0,0cWKAJFnBVA
"Subtitles,when they come",sidra,2023-02-21T07:18:42Z,2023-02-21T07:18:42Z,0,0cWKAJFnBVA
tae tae 😘😍,Tanjila Munshi,2023-02-21T07:18:35Z,2023-02-21T07:18:35Z,1,0cWKAJFnBVA
"guys, how can you not have subtitles in 2023?? 🥲",Vanshika Chaturvedi,2023-02-21T07:18:19Z,2023-02-21T07:18:19Z,2,0cWKAJFnBVA
"Well, I'll be waiting for the translated version 🥺",brenda diana,2023-02-21T07:18:07Z,2023-02-21T07:18:07Z,0,0cWKAJFnBVA
💜💜💜💜,Carolina Lopez,2023-02-21T07:18:02Z,2023-02-21T07:18:02Z,0,0cWKAJFnBVA
No caption😩😭😭😭,Obi Yvonne,2023-02-21T07:17:41Z,2023-02-21T07:17:41Z,0,0cWKAJFnBVA
외국인들 자막없다고 불평하지말고 한국어 모르면 공부하자우르스,RH7,2023-02-21T07:17:32Z,2023-02-21T07:17:32Z,2,0cWKAJFnBVA
해외팬들을 위한 영문자막이 시급합니다,킴라이언,2023-02-21T07:17:30Z,2023-02-21T07:17:30Z,15,0cWKAJFnBVA
No English subtitles yet,Rachana Basnet,2023-02-21T07:17:20Z,2023-02-21T07:17:20Z,0,0cWKAJFnBVA
"Why put an English title but not put English subtitle, please improve. I know you can do better",Black Blink,2023-02-21T07:16:55Z,2023-02-21T07:24:29Z,0,0cWKAJFnBVA
Wow taehyung💜💜💜💜💜💜💜💜💜💜💜🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,Maymuna Ehsan,2023-02-21T07:16:50Z,2023-02-21T07:16:50Z,0,0cWKAJFnBVA
I need translate 🥺,Nispu Arsyanti,2023-02-21T07:16:25Z,2023-02-21T07:16:25Z,0,0cWKAJFnBVA
No subtitles 😭😭😭😭,Wang Vito,2023-02-21T07:16:24Z,2023-02-21T07:16:24Z,0,0cWKAJFnBVA
Only Korean subtitles ???😢😢😢😢,Bangton girl,2023-02-21T07:16:18Z,2023-02-21T07:16:18Z,0,0cWKAJFnBVA
"I wanted to subscribe to this channel but changed my mind because I can't understand a thing, only the Title",Black Blink,2023-02-21T07:16:17Z,2023-02-21T07:16:17Z,0,0cWKAJFnBVA
Subtitle 😭😭😭😭😭,Gita Marsheita,2023-02-21T07:16:14Z,2023-02-21T07:16:14Z,0,0cWKAJFnBVA
International fans need English subtitles...,Aishwarya Patel,2023-02-21T07:16:12Z,2023-02-21T07:16:31Z,0,0cWKAJFnBVA
What about english sub..... Please can't wait to see what are they talking about.....it's look fun though😌😌😌,ARMY Forever 💜,2023-02-21T07:16:07Z,2023-02-21T07:16:07Z,0,0cWKAJFnBVA
No english subs 🥲🥲,AleenJY Agos,2023-02-21T07:16:03Z,2023-02-21T07:16:03Z,0,0cWKAJFnBVA
"A great and refreshing cast,can't wait",Abena Safo,2023-02-21T07:15:32Z,2023-02-21T07:15:32Z,0,0cWKAJFnBVA
재밌다 진짜,Jinse Park,2023-02-21T07:15:13Z,2023-02-21T07:15:13Z,2,0cWKAJFnBVA
Can someone reply to this comment when English sub is available? 💜,Sinviana Meliani,2023-02-21T07:15:10Z,2023-02-21T07:15:10Z,0,0cWKAJFnBVA
"You would have a lot more viewers if there was an option to choose for the subtitles, esp English. Taeyoung or V of BTS has done his part promoting this on IG, but how can we continue to watch this if we can't understand. I actually love these group, during Youn's Kitchen. You would have more followers if you automatically have an English subtitle. Hope you can do better next time. You only have the English title for this program, but not the subtitle for us to actually understand what they are trying to say",Black Blink,2023-02-21T07:15:03Z,2023-02-21T07:15:03Z,2,0cWKAJFnBVA
English sub jusseo 🙏🙏😭,Chusnul Nur,2023-02-21T07:14:55Z,2023-02-21T07:14:55Z,0,0cWKAJFnBVA
"why not have english subtitles so that the global army can understand it.
if not, global army will choose another YouTube channel that copies it and uses english subtitles",daniek suryaningtyas,2023-02-21T07:14:34Z,2023-02-21T07:14:34Z,0,0cWKAJFnBVA
"Taehyungah, I miss you 😢 
Love you forever 💜
Borahae 💜",SuRoSri Shrestha,2023-02-21T07:14:18Z,2023-02-21T07:14:18Z,3,0cWKAJFnBVA
How can i understand 😭😭😭,aliza bhatti,2023-02-21T07:14:15Z,2023-02-21T07:14:15Z,2,0cWKAJFnBVA
My v is looking too cute💜🤦🏻‍♀️👀,Simran Singh,2023-02-21T07:14:03Z,2023-02-21T07:14:03Z,2,0cWKAJFnBVA
No English captions. 😭😭,aliza bhatti,2023-02-21T07:14:02Z,2023-02-21T07:14:02Z,2,0cWKAJFnBVA
태형이를 이르케 부려도 되낰,아라2020,2023-02-21T07:13:52Z,2023-02-21T07:13:52Z,5,0cWKAJFnBVA
Who's here from V's Instagram?,Aqsa Asad,2023-02-21T07:13:17Z,2023-02-21T07:13:17Z,3,0cWKAJFnBVA
ENGLISH SUBTITLE PLEASE,Aulia Fitri,2023-02-21T07:13:11Z,2023-02-21T07:13:11Z,0,0cWKAJFnBVA
💜💜💜💜V 💜💜💜,Level Ml,2023-02-21T07:13:05Z,2023-02-21T07:13:05Z,0,0cWKAJFnBVA
💜,Jezzy S1,2023-02-21T07:12:51Z,2023-02-21T07:12:51Z,0,0cWKAJFnBVA
انا حرفيا مش فاهمه كلمه غير تايهيونغي طول الحلقه بس الابتسامه علي وشي طول الوقت صوته وضحكته قادره تفصلني عن العالم كله تاي حقيقي ارق حاجه ممكن تشوفها في حياتك رقته وهدوءه جميل لدرجه تتعب القلب حبيبي ربي يحميه,Alaa A. Adam,2023-02-21T07:12:14Z,2023-02-21T07:21:06Z,4,0cWKAJFnBVA
Waiting for english sub,Ankit 7,2023-02-21T07:12:12Z,2023-02-21T07:12:12Z,0,0cWKAJFnBVA
Lucu banget ayang aku😭💜,FangirlsThv🕊,2023-02-21T07:11:56Z,2023-02-21T07:11:56Z,1,0cWKAJFnBVA
Vvbear,Analiza Zapatero,2023-02-21T07:11:43Z,2023-02-21T07:11:43Z,1,0cWKAJFnBVA
TRANSLATE JUSEYO😢,Shakira Ainun,2023-02-21T07:11:39Z,2023-02-21T07:11:39Z,0,0cWKAJFnBVA
Thank you so much Taehyung for inviting me  My Taehyung is good at variety shows now💜,Zhayokee💜Kim Taehyung,2023-02-21T07:11:38Z,2023-02-21T07:11:38Z,0,0cWKAJFnBVA
English sub when,ARMYF1LH44fan,2023-02-21T07:11:35Z,2023-02-21T07:11:35Z,0,0cWKAJFnBVA
25:18 피디님 중간물 국어사전에 있습니다 !!!!!!!!!!!!!!!  중간물 : 원료를 가지고 최종 생성물을 만드는 과정에서 합성되는 유기물,897_JK,2023-02-21T07:11:28Z,2023-02-21T07:11:28Z,3,0cWKAJFnBVA
Why am I unable to find it on Prime Video? :(,Sweet Dove,2023-02-21T07:11:28Z,2023-02-21T07:11:28Z,0,0cWKAJFnBVA
english sub pls,BooMPaW! GAMING,2023-02-21T07:10:51Z,2023-02-21T07:10:51Z,0,0cWKAJFnBVA
뷔 너무 멋져,Abid Ali,2023-02-21T07:10:45Z,2023-02-21T07:10:45Z,5,0cWKAJFnBVA
Translate juseyo😢,Shakira Ainun,2023-02-21T07:10:44Z,2023-02-21T07:10:44Z,0,0cWKAJFnBVA
Gue nontonnya pake bahasa kalbu alias teu ngarti😊,zen kay,2023-02-21T07:10:39Z,2023-02-21T07:10:39Z,0,0cWKAJFnBVA
Hey we need English subtitle atleast do this much for us,BUNNY~BEAR💗,2023-02-21T07:10:20Z,2023-02-21T07:10:20Z,0,0cWKAJFnBVA
I need translate 😢,Shakira Ainun,2023-02-21T07:10:19Z,2023-02-21T07:10:19Z,0,0cWKAJFnBVA
Please add translation 🥹,ruba mansoob,2023-02-21T07:10:11Z,2023-02-21T07:10:11Z,0,0cWKAJFnBVA
나피디님 바장 있어요  바장이라고 경상도 옛날 방언인데 똥장군이란 뜻이에요,박주현,2023-02-21T07:10:09Z,2023-02-21T07:10:09Z,2,0cWKAJFnBVA
"Очень весёлое и позитивное шоу. Впечатляет взаимодействие всех в команде, непринужденная и дружеская атмосфера. Техени - солнышко, желаю чтобы тебя всегда окружали любимые и достойные люди. Счастья, мира и добра всем.",Ольга Петрова,2023-02-21T07:10:03Z,2023-02-21T07:10:03Z,75,0cWKAJFnBVA
BTS FOR LIFEEEE!!!!!!!!!,Jeman Singh,2023-02-21T07:09:49Z,2023-02-21T07:09:49Z,0,0cWKAJFnBVA
"얼굴 맛집이네효 ,,, 💗",수민,2023-02-21T07:09:49Z,2023-02-21T07:09:49Z,2,0cWKAJFnBVA
Love V.,Kiều vui VK,2023-02-21T07:09:42Z,2023-02-21T07:09:42Z,0,0cWKAJFnBVA
💜💜💜,A,2023-02-21T07:09:30Z,2023-02-21T07:09:30Z,0,0cWKAJFnBVA
اصلا البی مخزن ارامش ده با هامیه ارامش ور ماشاالله لا حول ولا قوه الا بالله,고사르,2023-02-21T07:09:12Z,2023-02-21T07:09:12Z,0,0cWKAJFnBVA
So cute and funny 🥰😍🤩😘😇,DEGAS,2023-02-21T07:09:01Z,2023-02-21T07:09:01Z,1,0cWKAJFnBVA
Subtitle Indonesia,Shakeela Aulia Putri,2023-02-21T07:08:54Z,2023-02-21T07:08:54Z,0,0cWKAJFnBVA
Desperately need subtitles,David,2023-02-21T07:08:38Z,2023-02-21T07:08:38Z,0,0cWKAJFnBVA
Siapa yang kesini karena taehyung?,choe 27,2023-02-21T07:08:30Z,2023-02-21T07:08:30Z,1,0cWKAJFnBVA
💜,Nisa Nur,2023-02-21T07:08:25Z,2023-02-21T07:08:25Z,0,0cWKAJFnBVA
귀여워~^^,구 강,2023-02-21T07:08:21Z,2023-02-21T07:08:21Z,0,0cWKAJFnBVA
"Taehyung, Alap-alap bawa kayu
Alap yuuuuuu ❤",Ayya Hakim19,2023-02-21T07:08:12Z,2023-02-21T07:08:12Z,0,0cWKAJFnBVA
Te amo Taehyung 💜,Fadamad,2023-02-21T07:08:06Z,2023-02-21T07:08:06Z,1,0cWKAJFnBVA
우식이. 😍,구 강,2023-02-21T07:08:06Z,2023-02-21T07:08:06Z,0,0cWKAJFnBVA
Hai taeyung nice to meet you but i don't understand your language 😂😂but just it is cool😍😍😊😊😊❤️❤️,chandhini Tutorial,2023-02-21T07:07:50Z,2023-02-21T07:07:50Z,1,0cWKAJFnBVA
English subs please 😢,girlie bollozos,2023-02-21T07:07:46Z,2023-02-21T07:07:46Z,1,0cWKAJFnBVA
جانیم منیم دوزلی تهیونگوم سنه من قربان اولوم بیبله کی دوز توکوسن بیزده ده جان قالماده,고사르,2023-02-21T07:07:37Z,2023-02-21T07:07:37Z,0,0cWKAJFnBVA
Plz add English sub..🥺,Liya 💖,2023-02-21T07:07:25Z,2023-02-21T07:07:25Z,1,0cWKAJFnBVA
Please provide subtitle for international army's 🙏,Sushma Thapa,2023-02-21T07:06:57Z,2023-02-21T07:06:57Z,2,0cWKAJFnBVA
Taehyungaaaa,Nonadee 25,2023-02-21T07:06:49Z,2023-02-21T07:06:49Z,1,0cWKAJFnBVA
중간물 있는데 ㅋㅋㅋㅌㅋ,ㅎㅎ,2023-02-21T07:06:42Z,2023-02-21T07:06:42Z,0,0cWKAJFnBVA
"TaeTae, fighting!! 💜🤌👏✨💜
Park Seo-joon, fighting!! 🫰🤍👏",Thamyres Godoy,2023-02-21T07:06:40Z,2023-02-21T07:06:40Z,6,0cWKAJFnBVA
باشیوا دولانیم سنین، منیم نازلی دوزلی تهیونگوم سنین گوزلریوه من قربان اولوم منیم خوشگل عشقیم,고사르,2023-02-21T07:05:54Z,2023-02-21T07:05:54Z,0,0cWKAJFnBVA
here to support my taehyungii💜💜💜😙😙😙😙,ilove myself,2023-02-21T07:05:47Z,2023-02-21T07:05:47Z,1,0cWKAJFnBVA
Need Engsub ASAP!!,Vee,2023-02-21T07:05:41Z,2023-02-21T07:05:41Z,1,0cWKAJFnBVA
No eng subs,bts NR,2023-02-21T07:05:19Z,2023-02-21T07:05:19Z,1,0cWKAJFnBVA
Тэхенчик🎉💜,Zero Irt,2023-02-21T07:05:16Z,2023-02-21T07:05:16Z,1,0cWKAJFnBVA
subtitle plssssss☺☺☺,Belant nurul,2023-02-21T07:04:59Z,2023-02-21T07:04:59Z,0,0cWKAJFnBVA
Spanish subs please😢🙏🏻,elena fernandez moreno,2023-02-21T07:04:57Z,2023-02-21T07:04:57Z,0,0cWKAJFnBVA
I wish there was translation,Devi Padmakumar,2023-02-21T07:04:53Z,2023-02-21T07:04:53Z,1,0cWKAJFnBVA
is it me who can't find subtitles? or they didn't give it... I want subtitlesssssssssssssss😣,Mahima Debnath,2023-02-21T07:04:45Z,2023-02-21T07:04:45Z,2,0cWKAJFnBVA
Love you Kim taehyung 💜,Shanti Bhoy,2023-02-21T07:04:33Z,2023-02-21T07:04:33Z,1,0cWKAJFnBVA
kenapa tidak ada subtitle indonya,Zahra Fitriani,2023-02-21T07:04:28Z,2023-02-21T07:04:28Z,1,0cWKAJFnBVA
💜💜💜💜💜,Queensha_Official,2023-02-21T07:03:54Z,2023-02-21T07:03:54Z,2,0cWKAJFnBVA
Bro where is subtitle... So disappointing,Cookie Pie,2023-02-21T07:03:53Z,2023-02-21T07:03:53Z,0,0cWKAJFnBVA
We need subtitles 🥺🥺,Bangtan,2023-02-21T07:02:46Z,2023-02-21T07:02:46Z,0,0cWKAJFnBVA
ترجمة وييين,lina..✩,2023-02-21T07:02:40Z,2023-02-21T07:02:40Z,0,0cWKAJFnBVA
Tae sempre perfeito em tudo que faz. Amei a química de todo o grupo 💜💜🇧🇷🇧🇷🇧🇷💜💜💜💜,eliane wanderley,2023-02-21T07:02:33Z,2023-02-21T07:02:33Z,71,0cWKAJFnBVA
no subtitle 😌,Ukulele Noob,2023-02-21T07:02:18Z,2023-02-21T07:02:18Z,0,0cWKAJFnBVA
This is amazing 💜,Bangtan,2023-02-21T07:02:18Z,2023-02-21T07:02:18Z,2,0cWKAJFnBVA
Antes de las 24 horas por cierto hermoso TaeTae,ARMY_Esposa_De_Jungkook,2023-02-21T07:02:14Z,2023-02-21T07:02:14Z,1,0cWKAJFnBVA
We international army don't need anything we only need English subtitles 😔😔😔,Vishnu Priya,2023-02-21T07:01:57Z,2023-02-21T07:01:57Z,2,0cWKAJFnBVA
English subtitles,Lolabunny 12,2023-02-21T07:01:52Z,2023-02-21T07:01:52Z,0,0cWKAJFnBVA
English subtitles please,Christy Anasarias,2023-02-21T07:01:49Z,2023-02-21T07:01:49Z,1,0cWKAJFnBVA
I purple you taehyung 💜💜💜💜💜💜💜💜💜💜💜💜💜💜,Arpit L,2023-02-21T07:01:34Z,2023-02-21T07:01:34Z,1,0cWKAJFnBVA
"바장도  중간물도 사전에  있어~~요
사전 찾아보면서  했어야했어~~
나피디님))))",정윤,2023-02-21T07:01:30Z,2023-02-21T07:01:30Z,0,0cWKAJFnBVA
다음에는유미이네 다음에는 서준이네 다음에는우식이네까지,gymsiwoo,2023-02-21T07:01:21Z,2023-02-21T07:01:21Z,0,0cWKAJFnBVA
"When you don't know korean, but still you are watching  this with so much interest 🐼💜:)",Souta,2023-02-21T07:01:14Z,2023-02-21T07:01:14Z,3,0cWKAJFnBVA
드뷔시 좋네,work beach,2023-02-21T07:01:13Z,2023-02-21T07:01:13Z,0,0cWKAJFnBVA
English subtitles pleaseeee,starises,2023-02-21T07:01:06Z,2023-02-21T07:01:06Z,2,0cWKAJFnBVA
"テヒョーーーン！！！！！！！！
カッコよすぎやろぉぉぉぉ！！！！😭😭😭💓💓💓💓💓💓",kon,2023-02-21T07:00:48Z,2023-02-21T07:00:48Z,2,0cWKAJFnBVA
Kok gak ada translate bahasa indonesia nya,Dedi Suryaman,2023-02-21T07:00:24Z,2023-02-21T07:00:24Z,0,0cWKAJFnBVA
english subsssssssss😢😢😢😢😢,Jennifer Arbolado,2023-02-21T07:00:22Z,2023-02-21T07:00:22Z,0,0cWKAJFnBVA
no eng sub yet? 😢,Judelyn M. Navarro,2023-02-21T07:00:20Z,2023-02-21T07:00:20Z,0,0cWKAJFnBVA
English sub please,angelmae Fernandez Lor,2023-02-21T07:00:15Z,2023-02-21T07:00:15Z,0,0cWKAJFnBVA
💜💜💜💜💜💜💜taetae is so cute please Eng subs,NinaNass Dobrev,2023-02-21T07:00:10Z,2023-02-21T07:00:10Z,1,0cWKAJFnBVA
need sub indo 🥲🥲🥲🥲🥲,Nisa Fitria_032,2023-02-21T07:00:09Z,2023-02-21T07:00:09Z,0,0cWKAJFnBVA
박서준뭐야어깡쩔어❤,진현우,2023-02-21T07:00:01Z,2023-02-21T07:00:01Z,0,0cWKAJFnBVA
"Love this show, possible to have English subtitles ?
Thank youuu",II Nada II,2023-02-21T06:59:42Z,2023-02-21T06:59:42Z,1,0cWKAJFnBVA
English subtitles plz 🥺🥺,Sadia Khalid,2023-02-21T06:59:15Z,2023-02-21T06:59:15Z,1,0cWKAJFnBVA
Indonesia sub or english subtitle... 😭😭😭😭,Kim Taehyung,2023-02-21T06:58:44Z,2023-02-21T06:58:44Z,0,0cWKAJFnBVA
I love you v 💜🫰❣️,Mahi Rawat,2023-02-21T06:58:43Z,2023-02-21T06:58:43Z,1,0cWKAJFnBVA
Ya quiero salga el primer capítulo,Amichitx V,2023-02-21T06:58:42Z,2023-02-21T06:58:42Z,0,0cWKAJFnBVA
I am laughing like an idiot along with them even i don't understand any single word 🥺🥺🥺 please provide English subtitles.... please 😭😭😭,anonymous girl,2023-02-21T06:57:42Z,2023-02-21T06:57:42Z,1,0cWKAJFnBVA
SUB INDO MANAAAAAAAAAAAAAAA,Ytt Prek,2023-02-21T06:57:13Z,2023-02-21T06:57:13Z,0,0cWKAJFnBVA
"In love with my winter bear🐻❤️😘🇵🇰
And it was amazing 🤩🦋",WinterBear💜,2023-02-21T06:57:09Z,2023-02-21T06:57:09Z,1,0cWKAJFnBVA
English subtitles plz,Gebs,2023-02-21T06:57:02Z,2023-02-21T06:57:02Z,0,0cWKAJFnBVA
oooh my ahkirnya bisa liat mphii lagii 😍💜💜,Rifanza Hardikana,2023-02-21T06:56:57Z,2023-02-21T06:56:57Z,0,0cWKAJFnBVA
나피디님 중간물도 있고 바장도 있어요 벌칙받으세요 시즌2 태형이 승진으로ㅋ,ginger lily,2023-02-21T06:56:54Z,2023-02-21T06:56:54Z,238,0cWKAJFnBVA
oooh my ahkirnya bisa liat mphii lagii 😍💜💜,Rifanza Hardikana,2023-02-21T06:56:40Z,2023-02-21T06:56:40Z,0,0cWKAJFnBVA
Woosik and Taehyung are like evil partners in crime 🤣,Monica Geller,2023-02-21T06:56:34Z,2023-02-21T06:56:34Z,4,0cWKAJFnBVA
Please game cateres put an english subtitles so that international fans can understand what is happening please😭😭😭,Jamaica Cahipe,2023-02-21T06:56:20Z,2023-02-21T06:56:20Z,0,0cWKAJFnBVA
